inning,pitch_count,velocity_drop,earned_runs,pitch_type,pitcher_hand,batter_side,next_batter_side,batter_slugging,replace_decision
7,145,0.40488672605738785,5,Slider,R,R,R,0.23957410459225167,1
4,79,4.427879628674623,1,Slider,R,L,R,0.5922535925778767,1
8,119,2.359409070762501,7,Cutter,R,S,R,0.3695495921500678,0
5,122,1.069361990917617,2,Fastball,L,L,R,0.24973601260642356,1
7,82,6.174545696821126,4,Cutter,L,L,L,0.24738559654294195,1
3,57,1.7393346740420537,6,Slider,L,L,L,0.42299845257517904,1
7,147,1.7894016964395112,0,Changeup,R,S,S,0.5243667497805942,0
8,69,2.200614281103384,4,Fastball,R,R,S,0.5883764134307206,0
5,59,4.694134110624219,6,Slider,L,L,L,0.5405165779993962,0
4,27,5.277327453525986,2,Slider,R,R,L,0.7387731682051126,1
8,27,0.1408201896107597,2,Sinker,L,L,R,0.29212045614545973,1
8,123,1.9349570889103225,4,Changeup,R,L,R,0.6974039395516396,1
3,53,3.4477667400422627,5,Changeup,L,L,R,0.5169363652424395,1
6,76,2.655815617289865,0,Slider,L,L,S,0.716338215961883,1
5,41,7.073365268087088,4,Slider,R,L,S,0.45599800305188903,0
2,106,6.30166984709135,4,Cutter,R,L,S,0.48908011976257687,0
8,59,5.00712172431062,7,Curveball,R,S,S,0.45339041468161495,0
6,105,2.704339327976318,5,Changeup,L,R,R,0.25787952804103165,0
2,114,5.6053787587692785,4,Changeup,L,R,S,0.2870035280990094,1
5,32,6.749104102766355,0,Sinker,R,S,S,0.5105177887738257,1
1,47,4.758643018871894,3,Cutter,L,L,R,0.5199253808826616,1
6,103,6.275691735147033,0,Fastball,L,S,R,0.48067890019607756,0
9,81,5.992839691197982,5,Sinker,L,S,L,0.2077070186720028,1
1,112,4.573898489282578,4,Sinker,R,S,R,0.5033464432900954,1
3,106,2.4974657345720876,1,Fastball,L,R,S,0.28023482499357305,0
7,43,5.966257264010174,1,Fastball,R,S,R,0.5398240624314735,0
4,117,1.6543709308608516,2,Changeup,R,L,S,0.37296407155509714,1
9,26,6.23590677177227,7,Curveball,L,S,L,0.7948989578103485,1
3,56,6.436373537140264,3,Curveball,L,R,L,0.4155491181081411,0
5,87,6.577159036562985,7,Cutter,R,R,L,0.6924841455492914,1
3,105,3.783327767827661,6,Fastball,L,L,S,0.34735677172669654,0
7,106,1.5398461421633733,6,Fastball,L,S,S,0.313690914880133,1
5,34,0.7977888005285498,5,Slider,R,L,L,0.33265273027920533,0
9,142,5.946890003903394,7,Cutter,R,S,L,0.3998702211821402,1
7,126,7.090091076238505,2,Sinker,L,L,S,0.7093201634820758,0
2,108,5.206706870695253,6,Sinker,L,L,S,0.658376104679398,1
4,144,1.1532804831069567,2,Cutter,R,L,S,0.46125671804181284,1
9,132,7.479171588140592,1,Changeup,L,R,S,0.3128535268011129,0
2,126,7.9128161163145565,0,Changeup,R,R,L,0.22922422670901418,1
9,106,3.4670288794793755,2,Cutter,R,S,L,0.5711250427859498,1
5,87,4.75860231419017,2,Curveball,R,R,R,0.6240513393849236,1
2,34,6.217828160013262,6,Cutter,R,L,R,0.5636832813736675,1
4,84,5.891118320400357,7,Curveball,R,R,S,0.5007525466349096,1
7,73,7.742297535467594,3,Changeup,L,R,L,0.7837175876321416,1
8,112,0.9190647286303113,6,Cutter,L,S,S,0.2147981463861489,1
3,39,4.645798929142446,1,Curveball,R,L,R,0.7930449488916262,1
1,52,5.535451357384737,0,Slider,R,R,S,0.36578873698971553,0
4,119,7.12078739350136,3,Slider,R,R,R,0.4298868654975041,0
2,96,6.992877021745206,0,Cutter,R,S,R,0.6515203669230258,1
8,126,7.82399834849032,6,Fastball,R,S,L,0.3362689378866689,0
4,139,4.096627631501432,7,Cutter,R,L,S,0.6259097708255065,1
2,93,6.646086934505813,0,Changeup,L,S,L,0.3995305587522291,0
6,30,3.4182536650186215,2,Changeup,R,L,R,0.764334899815942,1
6,50,3.378511022848258,3,Slider,R,L,R,0.30302438142756727,0
4,31,2.026786915782872,2,Curveball,L,R,S,0.7590703632084101,0
6,143,6.545898296153839,7,Slider,L,R,S,0.6746440288669358,1
2,97,7.886520846508125,4,Curveball,R,R,S,0.3021418003216052,1
2,115,2.050733826778063,0,Cutter,R,R,S,0.43257803408355133,0
4,69,0.44905270416857856,3,Fastball,R,R,R,0.26257781675322356,1
8,136,6.524339499352059,1,Changeup,R,L,R,0.5598323395665795,1
7,36,4.961840420278049,2,Cutter,R,R,R,0.7763166892046673,1
9,148,7.677590404408035,4,Slider,R,R,L,0.24753854442078155,1
8,83,2.017913752615618,5,Sinker,L,R,L,0.3548680781226484,1
5,106,0.5682212640102486,7,Sinker,R,L,L,0.6532140682559615,1
2,35,3.9395380869320125,4,Cutter,R,S,S,0.4749893653102051,0
5,82,0.6837281837211799,4,Fastball,L,S,R,0.4033733949813014,1
8,95,2.0943200088216596,2,Curveball,R,R,L,0.5607143487482473,1
9,104,1.0078228865533463,1,Fastball,L,S,S,0.3763826310543096,0
9,128,1.7930574372806296,6,Slider,L,L,S,0.3973143897812156,1
1,36,0.8491572225711348,3,Fastball,L,R,S,0.6836669194050471,1
9,77,7.631247995418283,0,Changeup,R,L,R,0.4349503293729969,1
7,98,2.228501707597884,1,Sinker,L,L,S,0.6203344024695543,0
9,80,3.5511806879405237,2,Fastball,L,R,L,0.2904576462232057,1
8,132,7.188894461073779,5,Cutter,R,L,S,0.4392926515629472,1
1,140,5.418572703691795,3,Curveball,L,R,R,0.531152407509264,1
8,53,4.944299844494195,0,Changeup,L,L,R,0.36037829105165975,1
8,89,5.644505522886697,5,Changeup,L,S,S,0.45296088202109347,0
3,36,6.630578056843055,3,Changeup,R,S,R,0.6558942589200364,0
1,39,7.021354142814087,7,Slider,L,S,R,0.29690282971006254,0
8,78,5.141117365320212,0,Slider,L,L,L,0.5004507234200708,0
3,88,7.120058197552462,6,Cutter,R,R,L,0.3570691364836962,1
3,121,4.283180219403815,0,Curveball,L,S,S,0.4461429553653652,1
1,139,2.2183268501473874,4,Fastball,R,R,R,0.42523255684499717,1
5,76,7.040613671070755,5,Cutter,L,S,R,0.5932042406348164,0
7,102,4.331782619304697,5,Slider,R,S,R,0.6603007470706339,0
9,148,7.249100700537874,2,Cutter,R,L,L,0.4998426136143196,1
7,32,0.32134251160464977,7,Curveball,L,S,R,0.299951265708875,0
9,25,3.1801260123298842,1,Cutter,L,R,L,0.721174821759458,1
8,116,7.582440146899746,6,Sinker,R,R,R,0.311721206800295,1
2,113,1.997200742066422,4,Sinker,L,S,L,0.5470703608281203,1
1,129,7.532289968307941,7,Changeup,R,R,S,0.5163812516468353,1
7,70,7.631219689033999,4,Fastball,L,R,S,0.3719963544272366,1
7,70,7.057138513806888,3,Slider,L,R,R,0.7717680247006911,0
8,106,4.50934436074639,5,Slider,R,R,R,0.6059987258476678,1
5,87,5.175515592645108,0,Sinker,L,R,L,0.4819886550101864,1
3,103,6.956935987598953,0,Curveball,L,S,L,0.4660918246465499,1
8,61,6.207176659113475,7,Curveball,L,R,L,0.2554729438140251,1
6,76,5.040750795643293,6,Curveball,L,R,R,0.6684085300139615,1
3,81,7.858075262965621,3,Slider,R,S,L,0.25018612377872007,1
1,26,5.485413090669553,5,Changeup,R,L,R,0.3204324686162204,0
3,131,7.803855939582089,2,Fastball,R,R,L,0.2986969523115527,1
5,45,0.45910779685672587,0,Curveball,R,L,R,0.24089349247219083,0
3,38,1.1116829659376997,4,Slider,L,L,L,0.6977508336623137,0
1,28,3.6116707680039246,4,Changeup,R,S,L,0.743776817843911,0
5,80,3.079035687074521,5,Curveball,R,L,L,0.5753105395857414,0
7,39,6.261878730856222,0,Curveball,R,L,R,0.7266530788475603,0
7,125,1.28491221175363,0,Fastball,L,L,S,0.6050379334699241,1
9,69,7.808761432891909,2,Sinker,L,S,S,0.6110033933333539,1
3,100,2.520527002087312,5,Fastball,R,R,R,0.7336827404274582,1
7,29,3.4313896619212754,0,Cutter,L,S,R,0.2551571853870799,1
1,84,2.1979602595201833,2,Sinker,L,S,S,0.2328389590251606,1
4,27,4.634908938612378,4,Sinker,R,S,S,0.2321549453939618,0
4,41,0.46902960338067157,2,Sinker,R,R,L,0.45074291835740554,0
5,37,1.1974200445635903,0,Curveball,R,L,L,0.7678364040404053,0
7,28,5.966381627349794,1,Cutter,L,R,R,0.7219594673827467,1
7,73,1.4920046672384313,7,Slider,R,L,S,0.6691781029997221,1
4,45,1.8841156124533027,5,Fastball,L,R,S,0.4423491302010245,1
7,113,6.343857885798702,6,Sinker,L,S,R,0.6945094776640107,0
3,119,0.7464094268580288,0,Sinker,R,S,S,0.33109407992069806,1
6,45,3.4997905821667272,1,Changeup,L,L,L,0.5512110842616411,0
2,53,0.1845070959778159,4,Curveball,L,S,S,0.6475536971184435,1
9,27,2.7744591945432306,5,Curveball,R,S,S,0.2554646413477421,0
5,67,5.591851220886036,6,Cutter,L,R,L,0.7244814294926207,1
6,126,0.7208262377378265,3,Fastball,L,L,S,0.6363913870265019,1
4,73,7.106677014230081,5,Sinker,L,R,L,0.5199672875957577,1
7,138,7.275992343525728,4,Sinker,L,R,L,0.2374450048095582,1
9,100,0.8399230010010807,4,Cutter,L,S,L,0.6167112575428193,0
7,115,7.9258594910062135,4,Curveball,L,R,S,0.4683503720393946,1
